Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Attack Name,Label
192.168.1.81-15.197.187.26-46228-443-6,192.168.1.81,46228,15.197.187.26,443,6,01/11/2023 12:43:42 PM,55047316,28,17,15353.0,15052.0,1118.0,0.0,548.3214285714286,558.3995021203493,7577.0,0.0,885.4117647058823,1739.6438593439009,552.3430061512898,0.8174785488178933,1251075.3636363638,2126733.874347203,4970229.0,83.0,55047316.0,2038789.4814814816,2410983.6824732632,4970229.0,5623.0,55007166.0,3437947.8750000005,2290181.111200535,5013087.0,9363.0,1,0,0,0,896,544,0.5086533192644669,0.3088252295534263,0.0,7577.0,684.7826086956518,1137.3908917253164,1293658.0405797102,0,0,0,28,45,0,0,0,0.0,700.0,548.3214285714286,885.4117647058823,0,0,0,12211,6,13439,2,1395,1,1368,501,2016,13,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS DNS Flood,1
198.252.206.25-192.168.1.48-443-42244-6,198.252.206.25,443,192.168.1.48,42244,6,01/11/2023 12:44:20 PM,154344,2,4,61.0,312.0,61.0,0.0,30.5,43.1335136523794,195.0,0.0,78.0,84.24962907930218,2416.6796247343595,38.874203078836885,30868.8,63662.6672053567,144672.0,2.0,154344.0,154344.0,0.0,154344.0,154344.0,3297.0,1099.0,975.5096104088364,1869.0,2.0,1,0,0,0,64,128,12.958067692945628,25.916135385891256,0.0,195.0,62.0,66.03534407169138,4360.666666666667,0,0,0,4,6,0,0,0,2.0,72.33333333333333,30.5,78.0,0,0,0,373,4,2520,0,0,0,0,65,501,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS DNS Flood,1
192.168.1.24-20.25.241.18-49852-443-6,192.168.1.24,49852,20.25.241.18,443,6,01/11/2023 12:43:46 PM,29335,1,1,6.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,204.53383330492585,68.17794443497529,29335.0,0.0,29335.0,29335.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,32,34.088972217487644,34.088972217487644,0.0,6.0,4.0,3.4641016151377544,12.0,0,0,0,0,2,0,0,0,1.0,6.0,6.0,0.0,0,0,0,0,0,0,0,0,0,0,509,7369,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS DNS Flood,1
54.156.230.89-192.168.1.81-443-33462-6,54.156.230.89,443,192.168.1.81,33462,6,01/11/2023 12:43:38 PM,36010963,4,2,62.0,70.0,31.0,0.0,15.5,17.8978583448784,35.0,35.0,35.0,0.0,3.665550404747577,0.1666159274885262,7202192.6,16092492.888454506,35989318.0,1048.0,36010963.0,12003654.333333332,20772194.06212657,35989318.0,10740.0,36000214.0,36000214.0,0.0,36000214.0,36000214.0,1,0,0,0,128,64,0.1110772849923508,0.0555386424961754,0.0,35.0,23.28571428571429,16.007438746973083,256.23809523809524,0,0,0,4,6,0,0,0,0.0,27.166666666666668,15.5,35.0,0,0,0,0,0,0,4,62,2,70,425,501,1,32,10740.0,0.0,10740.0,10740.0,35989318.0,0.0,35989318.0,35989318.0,DoS DNS Flood,1
192.168.1.81-52.23.140.126-43882-443-6,192.168.1.81,43882,52.23.140.126,443,6,01/11/2023 12:43:59 PM,36630400,11,11,4951.0,3414.0,2736.0,0.0,450.09090909090907,863.3928948683159,2736.0,0.0,310.3636363636364,809.9049663667057,228.3622346466323,0.6005940421071023,1744304.761904762,7162751.6296394365,32818241.0,1.0,36630400.0,3663040.0,10309282.686595492,32818839.0,2.0,36578543.0,3657854.3000000007,10321913.137588603,32859099.0,1.0,1,0,0,0,352,352,0.3002970210535511,0.3002970210535511,0.0,2736.0,365.0869565217391,804.4564462499156,647150.1739130435,0,0,0,13,22,0,0,0,1.0,381.6818181818182,450.09090909090907,310.3636363636364,0,0,0,8269,10,119571,5,2475,5,1707,1173,442,5,32,51082.0,0.0,51082.0,51082.0,32818241.0,0.0,32818241.0,32818241.0,DoS DNS Flood,1
209.206.49.216-192.168.1.87-30001-47562-6,209.206.49.216,30001,192.168.1.87,47562,6,01/11/2023 12:44:23 PM,78170,2,1,70.0,195.0,70.0,0.0,35.0,49.49747468305833,195.0,195.0,195.0,0.0,3390.047332736344,38.377894332864265,39085.0,51748.90267435629,75677.0,2493.0,78170.0,78170.0,0.0,78170.0,78170.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,64,32,25.58526288857617,12.792631444288087,0.0,195.0,83.75,81.17624857883821,6589.583333333333,0,0,0,2,3,0,0,0,0.0,111.66666666666669,35.0,195.0,0,0,0,0,0,0,0,0,0,0,1232,274,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS DNS Flood,1
192.168.1.81-44.194.254.66-37948-443-6,192.168.1.81,37948,44.194.254.66,443,6,01/11/2023 12:44:29 PM,21398,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.46667912889056,21398.0,0.0,21398.0,21398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,46.73333956444528,46.73333956444528,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,501,114,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS DNS Flood,1
192.168.1.9-192.168.1.1-8080-40698-6,192.168.1.9,8080,192.168.1.1,40698,6,01/11/2023 12:43:48 PM,45087866,4,4,24.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.5322939879212736,0.1774313293070911,6441123.714285715,8033513.908354088,15065815.0,1.0,45087864.0,15029288.0,33571.359951601604,15065816.0,14999785.0,45087864.0,15029288.0,33572.00862325637,15065817.0,14999785.0,0,0,0,0,80,128,0.0887156646535455,0.0887156646535455,0.0,6.0,3.333333333333333,3.1622776601683795,10.0,0,0,0,0,8,0,0,0,1.0,3.75,6.0,0.0,0,0,0,0,0,0,1,8,1,0,2048,123,3,20,1.6666666666666667,0.5773502691896257,2.0,1.0,15029286.333333334,33571.903987312566,15065815.0,14999783.0,DoS DNS Flood,1
192.168.1.172-157.240.241.55-61041-443-6,192.168.1.172,61041,157.240.241.55,443,6,01/11/2023 12:43:43 PM,50894476,44,52,14856.0,35730.0,844.0,6.0,337.6363636363636,348.53274451014164,2871.0,0.0,687.1153846153845,1104.3655201569877,993.9389099909388,1.886255789331636,535731.3263157895,1540160.5972774357,5002765.0,1.0,50894476.0,1183592.4651162787,2126995.498044101,5002765.0,1.0,50869645.0,997444.0196078428,2010736.643103284,5033140.0,1.0,1,0,0,0,880,1040,0.8645339034436665,1.0217218858879695,0.0,2871.0,526.3195876288659,855.9757169743942,732694.4280498283,0,0,0,55,96,0,0,0,1.0,531.8020833333334,337.6363636363636,687.1153846153846,0,0,0,4598,7,57917,4,1485,5,3573,512,3345,43,20,79278.89999999998,13244.611226625131,96498.0,59407.0,5002106.8,645.410429279075,5002765.0,5000903.0,DoS DNS Flood,1
209.206.49.216-192.168.1.87-30001-47576-6,209.206.49.216,30001,192.168.1.87,47576,6,01/11/2023 12:44:04 PM,77692,2,1,70.0,195.0,70.0,0.0,35.0,49.49747468305833,195.0,195.0,195.0,0.0,3410.904597641971,38.61401431292797,38846.0,51945.47835952616,75577.0,2115.0,77692.0,77692.0,0.0,77692.0,77692.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,64,32,25.74267620861865,12.871338104309324,0.0,195.0,83.75,81.17624857883821,6589.583333333333,0,0,0,2,3,0,0,0,0.0,111.66666666666669,35.0,195.0,0,0,0,0,0,0,0,0,0,0,1232,274,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS DNS Flood,1
