Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Attack Name,Label
192.168.1.7-54.230.163.16-41068-443-6,192.168.1.7,41068,54.230.163.16,443,6,01/11/2023 10:30:40 AM,427539,11,10,720.0,6169.0,517.0,0.0,65.45454545454545,154.29151864983615,4104.0,0.0,616.9,1304.7009406160648,16113.149911470064,49.1183260474483,21376.95,86109.05955605916,386875.0,1.0,423819.0,42381.9,121134.23215814942,386875.0,75.0,420817.0,46757.44444444445,129864.00832612468,392657.0,3.0,0,0,0,0,360,328,25.728646977234824,23.38967907021348,0.0,4104.0,313.1363636363636,906.4280128196846,821611.7424242422,1,2,0,8,20,0,0,0,0.0,328.04761904761904,65.45454545454545,616.9,0,0,0,6889,8,227954,0,0,0,0,29200,131,4,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS ICMP Flood,1
192.168.1.1-192.168.1.9-40407-8080-6,192.168.1.1,40407,192.168.1.9,8080,6,01/11/2023 10:30:49 AM,5190474,8,21,15131.0,271.0,11584.0,0.0,1891.375,3989.079555038803,254.0,0.0,12.904761904761903,55.36596857448153,2967.359050445104,5.58715832118608,185374.07142857145,973004.6686751428,5150050.0,0.0,40424.0,5774.857142857143,13670.483110563082,36743.0,35.0,5190356.0,259517.8,1158819.8374899216,5182796.0,0.0,0,0,0,0,264,684,1.541285054120298,4.045873267065782,0.0,11584.0,513.3999999999999,2134.8108468255773,4557417.351724138,1,2,0,4,28,0,0,0,2.0,531.1034482758621,1891.375,12.904761904761903,0,0,0,15402,6,2221869,8,15131,21,271,14600,2048,4,32,40424.0,0.0,40424.0,40424.0,5150050.0,0.0,5150050.0,5150050.0,DoS ICMP Flood,1
17.248.199.68-192.168.1.249-443-63168-6,17.248.199.68,443,192.168.1.249,63168,6,01/11/2023 10:31:02 AM,978107,2,2,31.0,31.0,31.0,0.0,15.5,21.920310216782973,31.0,0.0,15.5,21.920310216782973,63.38774796622456,4.089532126853197,326035.6666666666,564705.1435938346,978101.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,1,0,0,0,64,64,2.0447660634265987,2.0447660634265987,0.0,31.0,18.6,16.97939928266015,288.30000000000007,2,0,0,2,4,0,0,0,1.0,23.25,15.5,15.5,0,0,0,0,0,0,0,0,0,0,501,2048,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS ICMP Flood,1
192.168.1.249-17.248.199.68-63168-443-6,192.168.1.249,63168,17.248.199.68,443,6,01/11/2023 10:31:03 AM,1,2,0,12.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,12000000.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,2000000.0,0.0,6.0,6.0,6.0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,9.0,6.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS ICMP Flood,1
192.168.1.249-17.248.199.68-63168-443-6,192.168.1.249,63168,17.248.199.68,443,6,01/11/2023 10:31:03 AM,1,2,0,12.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,12000000.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,2000000.0,0.0,6.0,6.0,6.0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,9.0,6.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS ICMP Flood,1
192.168.1.172-31.13.71.3-53074-443-6,192.168.1.172,53074,31.13.71.3,443,6,01/11/2023 10:31:04 AM,45747,6,8,813.0,3286.0,499.0,0.0,135.5,192.7503566793068,1791.0,0.0,410.75,733.5829391223793,89601.50392375456,306.0309965680809,3519.0000000000005,4861.381525177111,18361.0,1.0,27383.0,5476.6,2544.183326727852,7364.0,1041.0,41454.0,5922.000000000001,7866.749159171998,20676.0,1.0,0,0,0,0,132,172,131.1561413863204,174.87485518176055,0.0,1791.0,273.26666666666665,553.7235600481354,306609.78095238097,1,2,0,7,13,0,0,0,1.0,292.7857142857143,135.5,410.75,0,0,0,4099,10,103384,0,0,0,0,64240,265,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS ICMP Flood,1
192.168.1.172-31.13.71.3-53074-443-6,192.168.1.172,53074,31.13.71.3,443,6,01/11/2023 10:31:04 AM,1431,3,0,43.0,0.0,31.0,6.0,14.333333333333332,14.433756729740644,0.0,0.0,0.0,0.0,30048.91684136967,2096.4360587002097,715.5,416.4858941188765,1010.0,421.0,1431.0,715.5,416.4858941188765,1010.0,421.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60,0,2096.4360587002097,0.0,6.0,31.0,12.25,12.5,156.25,0,0,1,1,3,0,0,0,0.0,16.333333333333332,14.333333333333334,0.0,0,0,0,0,0,0,0,0,0,0,511,0,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS ICMP Flood,1
192.168.2.3-34.122.121.32-46996-80-6,192.168.2.3,46996,34.122.121.32,80,6,01/11/2023 10:31:03 AM,7681695,6,4,87.0,148.0,87.0,0.0,14.5,35.51760127035608,148.0,0.0,37.0,74.0,30.592206537749806,1.3017960228829704,853521.6666666666,1422610.8115007246,4192448.0,2.0,7537292.0,1507458.4,1687406.748688146,4192448.0,3.0,441386.0,147128.6666666667,168479.50894198776,330922.0,2.0,0,0,0,0,224,136,0.7810776137297822,0.5207184091531881,0.0,148.0,21.363636363636363,49.44951511849784,2445.2545454545457,1,5,0,2,6,0,0,0,0.0,23.5,14.5,37.0,0,0,0,0,0,0,2,29,1,49,29200,508,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS ICMP Flood,1
192.168.1.153-185.125.190.48-34628-80-6,192.168.1.153,34628,185.125.190.48,80,6,01/11/2023 10:31:15 AM,151827,3,3,87.0,189.0,87.0,0.0,29.0,50.22947341949744,189.0,0.0,63.0,109.11920087683929,1817.8584836689129,39.51866268845463,30365.4,41485.91454096197,78327.0,3.0,73497.0,36748.5,51565.76201802898,73211.0,286.0,78619.0,39309.5,55587.78538941806,78616.0,3.0,0,0,0,0,104,104,19.75933134422732,19.75933134422732,0.0,189.0,39.42857142857143,73.49343994048526,5401.285714285715,1,2,0,2,5,0,0,0,1.0,46.0,29.0,63.0,0,0,0,0,0,0,0,0,0,0,64240,509,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS ICMP Flood,1
192.168.1.9-192.168.1.1-8080-40398-6,192.168.1.9,8080,192.168.1.1,40398,6,01/11/2023 10:30:49 AM,27184432,2,3,12.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.4414291238455892,0.1839288016023288,6796108.0,7943265.526481075,15098563.0,1.0,15098564.0,15098564.0,0.0,15098564.0,15098564.0,27184431.0,13592215.5,2130301.3067874927,15098566.0,12085865.0,0,0,0,0,40,96,0.0735715206409315,0.1103572809613973,0.0,6.0,3.0,3.286335345030997,10.8,1,0,0,0,5,0,0,0,1.0,3.6,6.0,0.0,0,0,0,0,0,0,1,6,1,0,2048,123,1,20,2.0,1.4142135623730951,3.0,1.0,13592214.0,2130299.185467149,15098563.0,12085865.0,DoS ICMP Flood,1
