Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Attack Name,Label
192.168.1.172-31.13.71.3-59701-443-6,192.168.1.172,59701,31.13.71.3,443,6,01/11/2023 12:09:44 PM,66883,6,8,813.0,3285.0,499.0,0.0,135.5,192.7503566793068,1790.0,0.0,410.62500000000006,733.3141867089245,61271.17503700492,209.32075415277424,5144.846153846154,7657.242310890541,29298.0,1.0,37582.0,7516.4,2896.4820558739875,10138.0,2764.0,62640.0,8948.571428571428,12563.697861393392,33764.0,1.0,0,0,0,0,132,172,89.70889463690325,119.611859515871,0.0,1790.0,273.19999999999993,553.5278028892754,306393.0285714286,1,2,0,7,13,0,0,0,1.0,292.7142857142857,135.5,410.625,0,0,0,4098,10,68655,0,0,0,0,64240,265,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS UDP Flood,1
192.168.1.172-31.13.71.3-59701-443-6,192.168.1.172,59701,31.13.71.3,443,6,01/11/2023 12:09:44 PM,2,3,0,43.0,0.0,31.0,6.0,14.333333333333332,14.433756729740644,0.0,0.0,0.0,0.0,21500000.0,1500000.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60,0,1500000.0,0.0,6.0,31.0,12.25,12.5,156.25,0,0,1,1,3,0,0,0,0.0,16.333333333333332,14.333333333333334,0.0,0,0,0,0,0,0,0,0,0,0,511,0,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS UDP Flood,1
192.168.1.7-54.230.163.60-33582-443-6,192.168.1.7,33582,54.230.163.60,443,6,01/11/2023 12:09:47 PM,382413,11,11,720.0,6169.0,517.0,0.0,65.45454545454545,154.29151864983615,2736.0,0.0,560.8181818181818,904.4597081331837,18014.55494452333,57.52942499339719,18210.14285714285,74902.66363173323,344746.0,1.0,379306.0,37930.6,107910.69516472096,344746.0,114.0,378527.0,37852.7,110204.38329561429,351075.0,1.0,0,0,0,0,360,360,28.7647124966986,28.7647124966986,0.0,2736.0,299.5217391304348,669.5297447099592,448270.0790513833,1,2,0,8,21,0,0,0,1.0,313.1363636363636,65.45454545454545,560.8181818181819,0,0,0,6889,9,229053,0,0,0,0,29200,131,4,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS UDP Flood,1
192.168.3.6-91.189.91.48-36814-80-6,192.168.3.6,36814,91.189.91.48,80,6,01/11/2023 12:09:53 PM,30164,3,3,87.0,189.0,87.0,0.0,29.0,50.22947341949744,189.0,0.0,63.0,109.11920087683929,9149.980108738891,198.9126110595412,6032.8,6340.528148348527,14709.0,1.0,15438.0,7719.0,10914.900274395548,15437.0,1.0,20538.0,10269.0,14498.51744144897,20521.0,17.0,0,0,0,0,104,104,99.4563055297706,99.4563055297706,0.0,189.0,39.42857142857143,73.49343994048526,5401.285714285715,1,2,0,2,5,0,0,0,1.0,46.0,29.0,63.0,0,0,0,0,0,0,0,0,0,0,29200,508,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS UDP Flood,1
91.189.91.48-192.168.3.6-80-36814-6,91.189.91.48,80,192.168.3.6,36814,6,01/11/2023 12:09:53 PM,13960,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.8997134670487,6980.0,9869.79645180183,13959.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,32,76,71.63323782234957,143.26647564469914,0.0,0.0,0.0,0.0,0.0,2,0,0,0,3,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,508,237,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS UDP Flood,1
192.168.1.9-192.168.1.1-8080-40615-6,192.168.1.9,8080,192.168.1.1,40615,6,01/11/2023 12:09:48 PM,11980318,1,2,6.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.5008214306164493,0.2504107153082247,5990159.0,8471361.270144131,11980316.0,2.0,0.0,0.0,0.0,0.0,0.0,11980316.0,11980316.0,0.0,11980316.0,11980316.0,0,0,0,0,20,64,0.0834702384360749,0.1669404768721498,0.0,6.0,3.0,3.4641016151377544,12.0,1,0,0,0,3,0,0,0,2.0,4.0,6.0,0.0,0,0,0,0,0,0,1,6,2,0,2048,123,0,20,2.0,0.0,2.0,2.0,11980316.0,0.0,11980316.0,11980316.0,DoS UDP Flood,1
192.168.1.214-185.199.108.133-59288-443-6,192.168.1.214,59288,185.199.108.133,443,6,01/11/2023 12:10:05 PM,3529,3,2,30.0,24.0,24.0,0.0,10.0,12.489995996796797,24.0,0.0,12.0,16.97056274847714,15301.7852082743,1416.8319637291015,882.2499999999999,1761.166729756158,3524.0,1.0,3529.0,1764.5,2492.55140368258,3527.0,2.0,1.0,1.0,0.0,1.0,1.0,1,0,0,0,84,64,850.099178237461,566.7327854916407,0.0,24.0,13.0,12.24744871391589,150.0,1,0,1,2,4,0,0,0,0.0,15.6,10.0,12.0,0,0,0,0,0,0,0,0,0,0,318,285,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS UDP Flood,1
185.199.108.133-192.168.1.214-443-59288-6,185.199.108.133,443,192.168.1.214,59288,6,01/11/2023 12:10:05 PM,1,2,1,0.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,6000000.0,3000000.0,0.5,0.7071067811865476,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,20,2000000.0,1000000.0,0.0,6.0,1.5,3.0,9.0,1,0,1,0,2,0,0,0,0.0,2.0,0.0,6.0,0,0,0,0,0,0,0,0,0,0,285,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS UDP Flood,1
192.168.1.214-34.120.177.193-41574-443-6,192.168.1.214,41574,34.120.177.193,443,6,01/11/2023 12:10:05 PM,4526,2,1,24.0,0.0,24.0,0.0,12.0,16.97056274847714,0.0,0.0,0.0,0.0,5302.695536897923,662.8369421122404,2263.0,3197.536864525568,4524.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,64,32,441.89129474149365,220.94564737074683,0.0,24.0,12.0,13.856406460551018,192.0,2,0,0,1,3,0,0,0,0.0,16.0,12.0,0.0,0,0,0,0,0,0,0,0,0,0,317,261,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS UDP Flood,1
192.168.1.172-31.13.71.51-59572-443-6,192.168.1.172,59572,31.13.71.51,443,6,01/11/2023 12:10:06 PM,3309,2,2,37.0,31.0,31.0,6.0,18.5,17.67766952966369,31.0,0.0,15.5,21.920310216782973,20550.01511030523,1208.8244182532487,1103.0,1906.9879391333336,3305.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,1,0,0,0,40,40,604.4122091266244,604.4122091266244,0.0,31.0,19.8,15.482247898803326,239.7,2,0,0,2,4,0,0,0,1.0,24.75,18.5,15.5,0,0,0,0,0,0,0,0,0,0,512,289,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS UDP Flood,1
